patch_name,scene_id,left,top,right,bottom,roi_left,roi_top,roi_right,roi_bottom
SAMPLE_060_x397_y25,SAMPLE_060,397,25,653,281,397,25,1550,1148
SAMPLE_060_x589_y25,SAMPLE_060,589,25,845,281,397,25,1550,1148
SAMPLE_060_x781_y25,SAMPLE_060,781,25,1037,281,397,25,1550,1148
SAMPLE_060_x973_y25,SAMPLE_060,973,25,1229,281,397,25,1550,1148
SAMPLE_060_x1165_y25,SAMPLE_060,1165,25,1421,281,397,25,1550,1148
SAMPLE_060_x1294_y25,SAMPLE_060,1294,25,1550,281,397,25,1550,1148
SAMPLE_060_x397_y217,SAMPLE_060,397,217,653,473,397,25,1550,1148
SAMPLE_060_x589_y217,SAMPLE_060,589,217,845,473,397,25,1550,1148
SAMPLE_060_x781_y217,SAMPLE_060,781,217,1037,473,397,25,1550,1148
SAMPLE_060_x973_y217,SAMPLE_060,973,217,1229,473,397,25,1550,1148
SAMPLE_060_x1165_y217,SAMPLE_060,1165,217,1421,473,397,25,1550,1148
SAMPLE_060_x1294_y217,SAMPLE_060,1294,217,1550,473,397,25,1550,1148
SAMPLE_060_x397_y409,SAMPLE_060,397,409,653,665,397,25,1550,1148
SAMPLE_060_x589_y409,SAMPLE_060,589,409,845,665,397,25,1550,1148
SAMPLE_060_x781_y409,SAMPLE_060,781,409,1037,665,397,25,1550,1148
SAMPLE_060_x973_y409,SAMPLE_060,973,409,1229,665,397,25,1550,1148
SAMPLE_060_x1165_y409,SAMPLE_060,1165,409,1421,665,397,25,1550,1148
SAMPLE_060_x1294_y409,SAMPLE_060,1294,409,1550,665,397,25,1550,1148
SAMPLE_060_x397_y601,SAMPLE_060,397,601,653,857,397,25,1550,1148
SAMPLE_060_x589_y601,SAMPLE_060,589,601,845,857,397,25,1550,1148
SAMPLE_060_x781_y601,SAMPLE_060,781,601,1037,857,397,25,1550,1148
SAMPLE_060_x973_y601,SAMPLE_060,973,601,1229,857,397,25,1550,1148
SAMPLE_060_x1165_y601,SAMPLE_060,1165,601,1421,857,397,25,1550,1148
SAMPLE_060_x1294_y601,SAMPLE_060,1294,601,1550,857,397,25,1550,1148
SAMPLE_060_x397_y793,SAMPLE_060,397,793,653,1049,397,25,1550,1148
SAMPLE_060_x589_y793,SAMPLE_060,589,793,845,1049,397,25,1550,1148
SAMPLE_060_x781_y793,SAMPLE_060,781,793,1037,1049,397,25,1550,1148
SAMPLE_060_x973_y793,SAMPLE_060,973,793,1229,1049,397,25,1550,1148
SAMPLE_060_x1165_y793,SAMPLE_060,1165,793,1421,1049,397,25,1550,1148
SAMPLE_060_x1294_y793,SAMPLE_060,1294,793,1550,1049,397,25,1550,1148
SAMPLE_060_x397_y892,SAMPLE_060,397,892,653,1148,397,25,1550,1148
SAMPLE_060_x589_y892,SAMPLE_060,589,892,845,1148,397,25,1550,1148
SAMPLE_060_x781_y892,SAMPLE_060,781,892,1037,1148,397,25,1550,1148
SAMPLE_060_x973_y892,SAMPLE_060,973,892,1229,1148,397,25,1550,1148
SAMPLE_060_x1165_y892,SAMPLE_060,1165,892,1421,1148,397,25,1550,1148
SAMPLE_060_x1294_y892,SAMPLE_060,1294,892,1550,1148,397,25,1550,1148
SAMPLE_061_x322_y0,SAMPLE_061,322,0,578,256,322,0,1633,1134
SAMPLE_061_x514_y0,SAMPLE_061,514,0,770,256,322,0,1633,1134
SAMPLE_061_x706_y0,SAMPLE_061,706,0,962,256,322,0,1633,1134
SAMPLE_061_x898_y0,SAMPLE_061,898,0,1154,256,322,0,1633,1134
SAMPLE_061_x1090_y0,SAMPLE_061,1090,0,1346,256,322,0,1633,1134
SAMPLE_061_x1282_y0,SAMPLE_061,1282,0,1538,256,322,0,1633,1134
SAMPLE_061_x1377_y0,SAMPLE_061,1377,0,1633,256,322,0,1633,1134
SAMPLE_061_x322_y192,SAMPLE_061,322,192,578,448,322,0,1633,1134
SAMPLE_061_x514_y192,SAMPLE_061,514,192,770,448,322,0,1633,1134
SAMPLE_061_x706_y192,SAMPLE_061,706,192,962,448,322,0,1633,1134
SAMPLE_061_x898_y192,SAMPLE_061,898,192,1154,448,322,0,1633,1134
SAMPLE_061_x1090_y192,SAMPLE_061,1090,192,1346,448,322,0,1633,1134
SAMPLE_061_x1282_y192,SAMPLE_061,1282,192,1538,448,322,0,1633,1134
SAMPLE_061_x1377_y192,SAMPLE_061,1377,192,1633,448,322,0,1633,1134
SAMPLE_061_x322_y384,SAMPLE_061,322,384,578,640,322,0,1633,1134
SAMPLE_061_x514_y384,SAMPLE_061,514,384,770,640,322,0,1633,1134
SAMPLE_061_x706_y384,SAMPLE_061,706,384,962,640,322,0,1633,1134
SAMPLE_061_x898_y384,SAMPLE_061,898,384,1154,640,322,0,1633,1134
SAMPLE_061_x1090_y384,SAMPLE_061,1090,384,1346,640,322,0,1633,1134
SAMPLE_061_x1282_y384,SAMPLE_061,1282,384,1538,640,322,0,1633,1134
SAMPLE_061_x1377_y384,SAMPLE_061,1377,384,1633,640,322,0,1633,1134
SAMPLE_061_x322_y576,SAMPLE_061,322,576,578,832,322,0,1633,1134
SAMPLE_061_x514_y576,SAMPLE_061,514,576,770,832,322,0,1633,1134
SAMPLE_061_x706_y576,SAMPLE_061,706,576,962,832,322,0,1633,1134
SAMPLE_061_x898_y576,SAMPLE_061,898,576,1154,832,322,0,1633,1134
SAMPLE_061_x1090_y576,SAMPLE_061,1090,576,1346,832,322,0,1633,1134
SAMPLE_061_x1282_y576,SAMPLE_061,1282,576,1538,832,322,0,1633,1134
SAMPLE_061_x1377_y576,SAMPLE_061,1377,576,1633,832,322,0,1633,1134
SAMPLE_061_x322_y768,SAMPLE_061,322,768,578,1024,322,0,1633,1134
SAMPLE_061_x514_y768,SAMPLE_061,514,768,770,1024,322,0,1633,1134
SAMPLE_061_x706_y768,SAMPLE_061,706,768,962,1024,322,0,1633,1134
SAMPLE_061_x898_y768,SAMPLE_061,898,768,1154,1024,322,0,1633,1134
SAMPLE_061_x1090_y768,SAMPLE_061,1090,768,1346,1024,322,0,1633,1134
SAMPLE_061_x1282_y768,SAMPLE_061,1282,768,1538,1024,322,0,1633,1134
SAMPLE_061_x1377_y768,SAMPLE_061,1377,768,1633,1024,322,0,1633,1134
SAMPLE_061_x322_y878,SAMPLE_061,322,878,578,1134,322,0,1633,1134
SAMPLE_061_x514_y878,SAMPLE_061,514,878,770,1134,322,0,1633,1134
SAMPLE_061_x706_y878,SAMPLE_061,706,878,962,1134,322,0,1633,1134
SAMPLE_061_x898_y878,SAMPLE_061,898,878,1154,1134,322,0,1633,1134
SAMPLE_061_x1090_y878,SAMPLE_061,1090,878,1346,1134,322,0,1633,1134
SAMPLE_061_x1282_y878,SAMPLE_061,1282,878,1538,1134,322,0,1633,1134
SAMPLE_061_x1377_y878,SAMPLE_061,1377,878,1633,1134,322,0,1633,1134
SAMPLE_062_x393_y12,SAMPLE_062,393,12,649,268,393,12,1514,1114
SAMPLE_062_x585_y12,SAMPLE_062,585,12,841,268,393,12,1514,1114
SAMPLE_062_x777_y12,SAMPLE_062,777,12,1033,268,393,12,1514,1114
SAMPLE_062_x969_y12,SAMPLE_062,969,12,1225,268,393,12,1514,1114
SAMPLE_062_x1161_y12,SAMPLE_062,1161,12,1417,268,393,12,1514,1114
SAMPLE_062_x1258_y12,SAMPLE_062,1258,12,1514,268,393,12,1514,1114
SAMPLE_062_x393_y204,SAMPLE_062,393,204,649,460,393,12,1514,1114
SAMPLE_062_x585_y204,SAMPLE_062,585,204,841,460,393,12,1514,1114
SAMPLE_062_x777_y204,SAMPLE_062,777,204,1033,460,393,12,1514,1114
SAMPLE_062_x969_y204,SAMPLE_062,969,204,1225,460,393,12,1514,1114
SAMPLE_062_x1161_y204,SAMPLE_062,1161,204,1417,460,393,12,1514,1114
SAMPLE_062_x1258_y204,SAMPLE_062,1258,204,1514,460,393,12,1514,1114
SAMPLE_062_x393_y396,SAMPLE_062,393,396,649,652,393,12,1514,1114
SAMPLE_062_x585_y396,SAMPLE_062,585,396,841,652,393,12,1514,1114
SAMPLE_062_x777_y396,SAMPLE_062,777,396,1033,652,393,12,1514,1114
SAMPLE_062_x969_y396,SAMPLE_062,969,396,1225,652,393,12,1514,1114
SAMPLE_062_x1161_y396,SAMPLE_062,1161,396,1417,652,393,12,1514,1114
SAMPLE_062_x1258_y396,SAMPLE_062,1258,396,1514,652,393,12,1514,1114
SAMPLE_062_x393_y588,SAMPLE_062,393,588,649,844,393,12,1514,1114
SAMPLE_062_x585_y588,SAMPLE_062,585,588,841,844,393,12,1514,1114
SAMPLE_062_x777_y588,SAMPLE_062,777,588,1033,844,393,12,1514,1114
